 tip2015_sort_HSort2Count; b'unsat\n'
 tip2015_bin_distrib; TIMEOUT
 prod_prop_14; b'unsat\n'
 false_regexp_star_plus_easy_2; TIMEOUT
 tip2015_sort_TSortSorts; b'unsat\n'
 isaplanner_prop_01; b'unsat\n'
 tip2015_int_add_ident_right; b'unsat\n'
 isaplanner_prop_27; b'unsat\n'
 false_productive_use_of_failure_rot_uhhh; b'unsat\n'
 tip2015_sort_TSortCount; b'unsat\n'
 false_graph_bt5; TIMEOUT
 tip2015_nat_lt_irreflexive; b'unsat\n'
 isaplanner_prop_42; b'unsat\n'
 isaplanner_prop_04; b'unsat\n'
 tip2015_sort_MSortTDCount; b'unsat\n'
 tip2015_bin_nat_plus_assoc; TIMEOUT
 tip2015_sort_nat_MSortBU2Sorts; b'unsat\n'
 tip2015_sort_nat_ISortCount; b'unsat\n'
 false_graph_bt3; TIMEOUT
 tip2015_sort_HSortIsSort; b'unsat\n'
 tip2015_nat_boring_ge_reflexive; b'unsat\n'
 isaplanner_prop_69; b'unsat\n'
 prod_prop_06; b'unsat\n'
 false_hotel_key_safe1; TIMEOUT
 tip2015_sort_HSort2Sorts; b'unsat\n'
 tip2015_sort_ISortCount; b'unsat\n'
 tip2015_bin_plus_assoc; TIMEOUT
 prod_prop_25; TIMEOUT
 tip2015_sort_NMSortTDCount; b'unsat\n'
 isaplanner_prop_57; b'unsat\n'
 grammars_simp_expr_unambig1; TIMEOUT
 tip2015_list_append_inj_1; b'unsat\n'
 false_queue1_QueueL; TIMEOUT
 tip2015_bin_plus; TIMEOUT
 prod_prop_48; b'unsat\n'
 tip2015_sort_HSort2IsSort; b'unsat\n'
 prod_prop_16; b'sat\n'
 tip2015_propositional_Okay; b'unsat\n'
 tip2015_list_append_inj_2; b'unsat\n'
 tip2015_sort_TSortIsSort; b'unsat\n'
 tip2015_sort_nat_NStoogeSortCount; b'unsat\n'
 false_regexp_star_plus_easy_1; TIMEOUT
 tip2015_nat_boring_min_comm; b'unsat\n'
 false_regexp_kfind5; TIMEOUT
 tip2015_escape_Injective; TIMEOUT
 isaplanner_prop_56; b'unsat\n'
 prod_prop_32; b'unsat\n'
 tip2015_sort_nat_BSortSorts; b'sat\n'
 tip2015_sort_nat_MSortTDSorts; b'unsat\n'
 tip2015_nat_pow_le_factorial; b'unsat\n'
 prod_prop_45; b'unsat\n'
 tip2015_rotate_self; b'unsat\n'
 false_regexp_kfind4; TIMEOUT
 false_graph_d7; TIMEOUT
 isaplanner_prop_18; b'unsat\n'
 tip2015_sort_ISortSorts; b'unsat\n'
 tip2015_int_left_distrib; b'unsat\n'
 tip2015_sort_StoogeSortSorts; b'unsat\n'
 isaplanner_prop_45; b'unsat\n'
 isaplanner_prop_46; b'sat\n'
 tip2015_sort_nat_MSortTDCount; b'unsat\n'
 isaplanner_prop_78; b'unsat\n'
 false_hotel_key_safe0; TIMEOUT
 tip2015_relaxedprefix_is_prefix_2; TIMEOUT
 prod_prop_46; b'unsat\n'
 tip2015_sort_nat_StoogeSortSorts; b'unsat\n'
 tip2015_sort_nat_BubSortCount; b'unsat\n'
 false_regexp_koen_easy; TIMEOUT
 false_graph_d5; TIMEOUT
 tip2015_sort_MSortBU2IsSort; b'unsat\n'
 false_cfg5_unambig; TIMEOUT
 prod_prop_02; b'unsat\n'
 false_regexp_kfind3; TIMEOUT
 tip2015_int_add_comm; b'unsat\n'
 isaplanner_prop_55; b'unsat\n'
 isaplanner_prop_44; b'unsat\n'
 tip2015_int_add_inv_left; b'unsat\n'
 isaplanner_prop_21; b'unsat\n'
 tip2015_sort_NMSortTDIsSort; b'unsat\n'
 prod_prop_04; b'unsat\n'
 tip2015_sort_nat_NStoogeSortSorts; b'unsat\n'
 tip2015_regexp_RecStar; TIMEOUT
 false_productive_use_of_failure_rot_comm; b'unsat\n'
 isaplanner_prop_28; b'unsat\n'
 isaplanner_prop_17; b'unsat\n'
 prod_prop_03; b'unsat\n'
 prod_prop_07; b'unsat\n'
 tip2015_sort_StoogeSort2Sorts; b'unsat\n'
 tip2015_regexp_PlusAssociative; TIMEOUT
 tip2015_nat_boring_gt_trans; b'unsat\n'
 isaplanner_prop_71; b'unsat\n'
 false_productive_use_of_failure_rot_bogus; b'unsat\n'
 prod_prop_19; b'unsat\n'
 isaplanner_prop_30; b'unsat\n'
 tip2015_list_nat_Interleave; b'unsat\n'
 false_queue2_QueueR; TIMEOUT
 tip2015_sort_MSortTDIsSort; b'unsat\n'
 false_productive_use_of_failure_rot_uhhhw2; b'unsat\n'
 prod_prop_37; b'unsat\n'
 false_productive_use_of_failure_app_inj2; b'unsat\n'
 tip2015_bin_nat_distrib; TIMEOUT
